"Question","Characteristics","response","count","State"
"Reason for not working","I am retired","Often not enough to eat",18114,"AL"
"Reason for not working","I did not have transportation to work","Often not enough to eat",NA,"AL"
"Reason for not working","I did not want to be employed at this time","Often not enough to eat",5775,"AL"
"Reason for not working","I was caring for an elderly person","Often not enough to eat",NA,"AL"
"Reason for not working","I was caring for children not in school or daycare","Often not enough to eat",NA,"AL"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Often not enough to eat",NA,"AL"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Often not enough to eat",NA,"AL"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Often not enough to eat",NA,"AL"
"Reason for not working","I was sick (not coronavirus related) or disabled","Often not enough to eat",41599,"AL"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Often not enough to eat",NA,"AL"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Often not enough to eat",NA,"AL"
"Reason for not working","Other reason","Often not enough to eat",6270,"AL"
"Received SNAP","Did not report","Often not enough to eat",NA,"AL"
"Received SNAP","No","Often not enough to eat",122743,"AL"
"Received SNAP","Yes","Often not enough to eat",17469,"AL"
"Respondent employed in the last 7 days","Did not report","Often not enough to eat",NA,"AL"
"Respondent employed in the last 7 days","No","Often not enough to eat",71759,"AL"
"Respondent employed in the last 7 days","Yes","Often not enough to eat",68453,"AL"
"Sex at birth","Female","Often not enough to eat",97730,"AL"
"Sex at birth","Male","Often not enough to eat",42482,"AL"
"Sexual orientation","Bisexual","Often not enough to eat",NA,"AL"
"Sexual orientation","Did not report","Often not enough to eat",NA,"AL"
"Sexual orientation","Gay or lesbian","Often not enough to eat",NA,"AL"
"Sexual orientation","I don’t know","Often not enough to eat",NA,"AL"
"Sexual orientation","Something else","Often not enough to eat",NA,"AL"
"Sexual orientation","Straight","Often not enough to eat",140212,"AL"
"Total","","Often not enough to eat",140212,"AL"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Often not enough to eat",26157,"AL"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Often not enough to eat",NA,"AL"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Often not enough to eat",42620,"AL"
"Used in the last 7 days to meet spending needs*","Did not report","Often not enough to eat",NA,"AL"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Often not enough to eat",NA,"AL"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Often not enough to eat",57140,"AL"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Often not enough to eat",28766,"AL"
"Used in the last 7 days to meet spending needs*","Other","Often not enough to eat",21384,"AL"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Often not enough to eat",14723,"AL"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Often not enough to eat",NA,"AL"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Often not enough to eat",NA,"AL"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Often not enough to eat",12833,"AL"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Often not enough to eat",NA,"AL"
"Active duty military*","Did not report","Did not report",2300,"AL"
"Active duty military*","No active duty service (self or spouse)","Did not report",573554,"AL"
"Active duty military*","Serving in Reserve or National Guard","Did not report",5025,"AL"
"Active duty military*","Serving on active duty","Did not report",NA,"AL"
"Active duty military*","Spouse serving in Reserve or National Guard","Did not report",NA,"AL"
"Active duty military*","Spouse serving on active duty","Did not report",7142,"AL"
"Age","18 - 24","Did not report",NA,"AL"
"Age","25 - 39","Did not report",179303,"AL"
"Age","40 - 54","Did not report",199619,"AL"
"Age","55 - 64","Did not report",68671,"AL"
"Age","65 and above","Did not report",140428,"AL"
"Confidence in paying next rent or mortgage","Did not report","Did not report",588021,"AL"
"Confidence in paying next rent or mortgage","High confidence","Did not report",NA,"AL"
"Confidence in paying next rent or mortgage","Moderate confidence","Did not report",NA,"AL"
"Confidence in paying next rent or mortgage","No confidence","Did not report",NA,"AL"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Did not report",NA,"AL"
"Confidence in paying next rent or mortgage","Slight confidence","Did not report",NA,"AL"
"Covered by health insurance","Did not report or don’t know","Did not report",582178,"AL"
"Covered by health insurance","No","Did not report",NA,"AL"
"Covered by health insurance","Yes","Did not report",5842,"AL"
"Currently caught up on mortgage or rental payments","Did not report","Did not report",588021,"AL"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Did not report",NA,"AL"
"Currently caught up on mortgage or rental payments","No","Did not report",NA,"AL"
"Currently caught up on mortgage or rental payments","Yes","Did not report",NA,"AL"
"Difficulty hearing","A lot of difficulty","Did not report",5842,"AL"
"Difficulty hearing","Cannot do at all","Did not report",NA,"AL"
"Difficulty hearing","Did not report","Did not report",582178,"AL"
"Difficulty hearing","No difficulty","Did not report",NA,"AL"
"Difficulty hearing","Some difficulty","Did not report",NA,"AL"
"Difficulty remembering or concentrating","A lot of difficulty","Did not report",NA,"AL"
"Difficulty remembering or concentrating","Cannot do at all","Did not report",NA,"AL"
"Difficulty remembering or concentrating","Did not report","Did not report",582178,"AL"
"Difficulty remembering or concentrating","No difficulty","Did not report",5842,"AL"
"Difficulty remembering or concentrating","Some difficulty","Did not report",NA,"AL"
"Difficulty seeing","A lot of difficulty","Did not report",NA,"AL"
"Difficulty seeing","Cannot do at all","Did not report",NA,"AL"
"Difficulty seeing","Did not report","Did not report",582178,"AL"
"Difficulty seeing","No difficulty","Did not report",NA,"AL"
"Difficulty seeing","Some difficulty","Did not report",5842,"AL"
"Difficulty walking or climbing stairs","A lot of difficulty","Did not report",5842,"AL"
"Difficulty walking or climbing stairs","Cannot do at all","Did not report",NA,"AL"
"Difficulty walking or climbing stairs","Did not report","Did not report",582178,"AL"
"Difficulty walking or climbing stairs","No difficulty","Did not report",NA,"AL"
"Difficulty walking or climbing stairs","Some difficulty","Did not report",NA,"AL"
"Education","Bachelor’s degree or higher","Did not report",73404,"AL"
"Education","High school or GED","Did not report",244303,"AL"
"Education","Less than high school","Did not report",98335,"AL"
"Education","Some college/associate’s degree","Did not report",171979,"AL"
"Experienced loss of employment income in last 4 weeks","Did not report","Did not report",107686,"AL"
"Experienced loss of employment income in last 4 weeks","No","Did not report",381948,"AL"
"Experienced loss of employment income in last 4 weeks","Yes","Did not report",98386,"AL"
"Free groceries in last 7 days","Did not report","Did not report",579960,"AL"
"Free groceries in last 7 days","No","Did not report",8060,"AL"
"Free groceries in last 7 days","Yes","Did not report",NA,"AL"
"Frequency of feeling down, depressed, or hopeless","Did not report","Did not report",588021,"AL"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Did not report",NA,"AL"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Did not report",NA,"AL"
"Frequency of feeling down, depressed, or hopeless","Not at all","Did not report",NA,"AL"
"Frequency of feeling down, depressed, or hopeless","Several days","Did not report",NA,"AL"
"Frequency of feeling nervous, anxious, on edge","Did not report","Did not report",588021,"AL"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Did not report",NA,"AL"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Did not report",NA,"AL"
"Frequency of feeling nervous, anxious, on edge","Not at all","Did not report",NA,"AL"
"Frequency of feeling nervous, anxious, on edge","Several days","Did not report",NA,"AL"
"Frequency of having little interest or pleasure in doing things","Did not report","Did not report",588021,"AL"
"Frequency of having little interest or pleasure in doing things","More than half the days","Did not report",NA,"AL"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Did not report",NA,"AL"
"Frequency of having little interest or pleasure in doing things","Not at all","Did not report",NA,"AL"
"Frequency of having little interest or pleasure in doing things","Several days","Did not report",NA,"AL"
"Frequency of not being able to stop or control worrying","Did not report","Did not report",588021,"AL"
"Frequency of not being able to stop or control worrying","More than half the days","Did not report",NA,"AL"
"Frequency of not being able to stop or control worrying","Nearly every day","Did not report",NA,"AL"
"Frequency of not being able to stop or control worrying","Not at all","Did not report",NA,"AL"
"Frequency of not being able to stop or control worrying","Several days","Did not report",NA,"AL"
"Gender","Cisgender female","Did not report",263068,"AL"
"Gender","Cisgender male","Did not report",290139,"AL"
"Gender","Did not report","Did not report",18901,"AL"
"Gender","None of these","Did not report",3327,"AL"
"Gender","Transgender","Did not report",12586,"AL"
"Hispanic origin and Race","Asian alone, not Hispanic","Did not report",NA,"AL"
"Hispanic origin and Race","Black alone, not Hispanic","Did not report",169278,"AL"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Did not report",53919,"AL"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Did not report",76335,"AL"
"Hispanic origin and Race","White alone, not Hispanic","Did not report",288488,"AL"
"Household income","$100,000 - $149,999","Did not report",NA,"AL"
"Household income","$150,000 - $199,999","Did not report",NA,"AL"
"Household income","$200,000 and above","Did not report",NA,"AL"
"Household income","$25,000 - $34,999","Did not report",NA,"AL"
"Household income","$35,000 - $49,999","Did not report",NA,"AL"
"Household income","$50,000 - $74,999","Did not report",NA,"AL"
"Household income","$75,000 - $99,999","Did not report",NA,"AL"
"Household income","Did not report","Did not report",588021,"AL"
"Household income","Less than $25,000","Did not report",NA,"AL"
"Household size","1 person in the household","Did not report",33287,"AL"
"Household size","2 people in the household","Did not report",189354,"AL"
"Household size","3 people in the household","Did not report",197733,"AL"
"Household size","4 people in the household","Did not report",52497,"AL"
"Household size","5 people in the household","Did not report",90539,"AL"
"Household size","6 people in the household","Did not report",NA,"AL"
"Household size","7 or more people in the household","Did not report",24612,"AL"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Did not report",34867,"AL"
"Lesbian, Gay, Bisexual and Transgender","No","Did not report",460037,"AL"
"Lesbian, Gay, Bisexual and Transgender","Other","Did not report",15133,"AL"
"Lesbian, Gay, Bisexual and Transgender","Yes","Did not report",77983,"AL"
"Marital status","Did not report","Did not report",2300,"AL"
"Marital status","Divorced/separated","Did not report",131397,"AL"
"Marital status","Married","Did not report",312388,"AL"
"Marital status","Never married","Did not report",110409,"AL"
"Marital status","Widowed","Did not report",31527,"AL"
"Presence of children under 18 years old","Children in household","Did not report",245500,"AL"
"Presence of children under 18 years old","No children","Did not report",342521,"AL"
"Reason for not working","Did not report reason","Did not report",436068,"AL"
"Reason for not working","I am retired","Did not report",49496,"AL"
"Reason for not working","I did not have transportation to work","Did not report",NA,"AL"
"Reason for not working","I did not want to be employed at this time","Did not report",NA,"AL"
"Reason for not working","I was caring for an elderly person","Did not report",34268,"AL"
"Reason for not working","I was caring for children not in school or daycare","Did not report",9460,"AL"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Did not report",10124,"AL"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Did not report",NA,"AL"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Did not report",2318,"AL"
"Reason for not working","I was sick (not coronavirus related) or disabled","Did not report",23027,"AL"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Did not report",NA,"AL"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Did not report",NA,"AL"
"Reason for not working","Other reason","Did not report",23260,"AL"
"Received SNAP","Did not report","Did not report",579960,"AL"
"Received SNAP","No","Did not report",5842,"AL"
"Received SNAP","Yes","Did not report",2218,"AL"
"Respondent employed in the last 7 days","Did not report","Did not report",129016,"AL"
"Respondent employed in the last 7 days","No","Did not report",223100,"AL"
"Respondent employed in the last 7 days","Yes","Did not report",235905,"AL"
"Sex at birth","Female","Did not report",285295,"AL"
"Sex at birth","Male","Did not report",302725,"AL"
"Sexual orientation","Bisexual","Did not report",31129,"AL"
"Sexual orientation","Did not report","Did not report",34867,"AL"
"Sexual orientation","Gay or lesbian","Did not report",34268,"AL"
"Sexual orientation","I don’t know","Did not report",NA,"AL"
"Sexual orientation","Something else","Did not report",19856,"AL"
"Sexual orientation","Straight","Did not report",467901,"AL"
"Total","","Did not report",588021,"AL"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Did not report",11127,"AL"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Did not report",2318,"AL"
"Used in the last 7 days to meet spending needs*","Did not report","Did not report",571423,"AL"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Did not report",2318,"AL"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Other","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Did not report",7789,"AL"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Did not report",NA,"AL"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Did not report",NA,"AL"
"Active duty military*","Did not report","Enough of the kinds of food wanted",1591,"AK"
"Active duty military*","No active duty service (self or spouse)","Enough of the kinds of food wanted",295024,"AK"
"Active duty military*","Serving in Reserve or National Guard","Enough of the kinds of food wanted",517,"AK"
"Active duty military*","Serving on active duty","Enough of the kinds of food wanted",12551,"AK"
"Active duty military*","Spouse serving in Reserve or National Guard","Enough of the kinds of food wanted",1147,"AK"
"Active duty military*","Spouse serving on active duty","Enough of the kinds of food wanted",1910,"AK"
"Age","18 - 24","Enough of the kinds of food wanted",14467,"AK"
"Age","25 - 39","Enough of the kinds of food wanted",83395,"AK"
"Age","40 - 54","Enough of the kinds of food wanted",92175,"AK"
"Age","55 - 64","Enough of the kinds of food wanted",43008,"AK"
"Age","65 and above","Enough of the kinds of food wanted",79695,"AK"
"Confidence in paying next rent or mortgage","Did not report","Enough of the kinds of food wanted",110235,"AK"
"Confidence in paying next rent or mortgage","High confidence","Enough of the kinds of food wanted",169388,"AK"
"Confidence in paying next rent or mortgage","Moderate confidence","Enough of the kinds of food wanted",14836,"AK"
"Confidence in paying next rent or mortgage","No confidence","Enough of the kinds of food wanted",8244,"AK"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Enough of the kinds of food wanted",2058,"AK"
"Confidence in paying next rent or mortgage","Slight confidence","Enough of the kinds of food wanted",7980,"AK"
"Covered by health insurance","Did not report or don’t know","Enough of the kinds of food wanted",9128,"AK"
"Covered by health insurance","No","Enough of the kinds of food wanted",27670,"AK"
"Covered by health insurance","Yes","Enough of the kinds of food wanted",275942,"AK"
"Currently caught up on mortgage or rental payments","Did not report","Enough of the kinds of food wanted",17286,"AK"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Enough of the kinds of food wanted",93301,"AK"
"Currently caught up on mortgage or rental payments","No","Enough of the kinds of food wanted",3390,"AK"
"Currently caught up on mortgage or rental payments","Yes","Enough of the kinds of food wanted",198763,"AK"
"Difficulty hearing","A lot of difficulty","Enough of the kinds of food wanted",6445,"AK"
"Difficulty hearing","Cannot do at all","Enough of the kinds of food wanted",183,"AK"
"Difficulty hearing","Did not report","Enough of the kinds of food wanted",11249,"AK"
"Difficulty hearing","No difficulty","Enough of the kinds of food wanted",249186,"AK"
"Difficulty hearing","Some difficulty","Enough of the kinds of food wanted",45678,"AK"
"Difficulty remembering or concentrating","A lot of difficulty","Enough of the kinds of food wanted",5045,"AK"
"Difficulty remembering or concentrating","Cannot do at all","Enough of the kinds of food wanted",NA,"AK"
"Difficulty remembering or concentrating","Did not report","Enough of the kinds of food wanted",11583,"AK"
"Difficulty remembering or concentrating","No difficulty","Enough of the kinds of food wanted",196751,"AK"
"Difficulty remembering or concentrating","Some difficulty","Enough of the kinds of food wanted",99360,"AK"
"Difficulty seeing","A lot of difficulty","Enough of the kinds of food wanted",3114,"AK"
"Difficulty seeing","Cannot do at all","Enough of the kinds of food wanted",NA,"AK"
"Difficulty seeing","Did not report","Enough of the kinds of food wanted",10929,"AK"
"Difficulty seeing","No difficulty","Enough of the kinds of food wanted",221600,"AK"
"Difficulty seeing","Some difficulty","Enough of the kinds of food wanted",77097,"AK"
"Difficulty walking or climbing stairs","A lot of difficulty","Enough of the kinds of food wanted",5786,"AK"
"Difficulty walking or climbing stairs","Cannot do at all","Enough of the kinds of food wanted",1889,"AK"
"Difficulty walking or climbing stairs","Did not report","Enough of the kinds of food wanted",12216,"AK"
"Difficulty walking or climbing stairs","No difficulty","Enough of the kinds of food wanted",248286,"AK"
"Difficulty walking or climbing stairs","Some difficulty","Enough of the kinds of food wanted",44563,"AK"
"Education","Bachelor’s degree or higher","Enough of the kinds of food wanted",108498,"AK"
"Education","High school or GED","Enough of the kinds of food wanted",89593,"AK"
"Education","Less than high school","Enough of the kinds of food wanted",5626,"AK"
"Education","Some college/associate’s degree","Enough of the kinds of food wanted",109023,"AK"
"Experienced loss of employment income in last 4 weeks","Did not report","Enough of the kinds of food wanted",613,"AK"
"Experienced loss of employment income in last 4 weeks","No","Enough of the kinds of food wanted",281567,"AK"
"Experienced loss of employment income in last 4 weeks","Yes","Enough of the kinds of food wanted",30560,"AK"
"Free groceries in last 7 days","Did not report","Enough of the kinds of food wanted",694,"AK"
"Free groceries in last 7 days","No","Enough of the kinds of food wanted",305888,"AK"
"Free groceries in last 7 days","Yes","Enough of the kinds of food wanted",6158,"AK"
"Frequency of feeling down, depressed, or hopeless","Did not report","Enough of the kinds of food wanted",7249,"AK"
"Frequency of feeling down, depressed, or hopeless","More than half the days","Enough of the kinds of food wanted",11750,"AK"
"Frequency of feeling down, depressed, or hopeless","Nearly every day","Enough of the kinds of food wanted",16572,"AK"
"Frequency of feeling down, depressed, or hopeless","Not at all","Enough of the kinds of food wanted",201834,"AK"
"Frequency of feeling down, depressed, or hopeless","Several days","Enough of the kinds of food wanted",75335,"AK"
"Frequency of feeling nervous, anxious, on edge","Did not report","Enough of the kinds of food wanted",6980,"AK"
"Frequency of feeling nervous, anxious, on edge","More than half the days","Enough of the kinds of food wanted",21102,"AK"
"Frequency of feeling nervous, anxious, on edge","Nearly every day","Enough of the kinds of food wanted",26199,"AK"
"Frequency of feeling nervous, anxious, on edge","Not at all","Enough of the kinds of food wanted",173149,"AK"
"Frequency of feeling nervous, anxious, on edge","Several days","Enough of the kinds of food wanted",85311,"AK"
"Frequency of having little interest or pleasure in doing things","Did not report","Enough of the kinds of food wanted",7705,"AK"
"Frequency of having little interest or pleasure in doing things","More than half the days","Enough of the kinds of food wanted",13318,"AK"
"Frequency of having little interest or pleasure in doing things","Nearly every day","Enough of the kinds of food wanted",15924,"AK"
"Frequency of having little interest or pleasure in doing things","Not at all","Enough of the kinds of food wanted",197878,"AK"
"Frequency of having little interest or pleasure in doing things","Several days","Enough of the kinds of food wanted",77917,"AK"
"Frequency of not being able to stop or control worrying","Did not report","Enough of the kinds of food wanted",6980,"AK"
"Frequency of not being able to stop or control worrying","More than half the days","Enough of the kinds of food wanted",11571,"AK"
"Frequency of not being able to stop or control worrying","Nearly every day","Enough of the kinds of food wanted",21129,"AK"
"Frequency of not being able to stop or control worrying","Not at all","Enough of the kinds of food wanted",189438,"AK"
"Frequency of not being able to stop or control worrying","Several days","Enough of the kinds of food wanted",83623,"AK"
"Gender","Cisgender female","Enough of the kinds of food wanted",149105,"AK"
"Gender","Cisgender male","Enough of the kinds of food wanted",154162,"AK"
"Gender","Did not report","Enough of the kinds of food wanted",2842,"AK"
"Gender","None of these","Enough of the kinds of food wanted",2071,"AK"
"Gender","Transgender","Enough of the kinds of food wanted",4561,"AK"
"Hispanic origin and Race","Asian alone, not Hispanic","Enough of the kinds of food wanted",21190,"AK"
"Hispanic origin and Race","Black alone, not Hispanic","Enough of the kinds of food wanted",5108,"AK"
"Hispanic origin and Race","Hispanic or Latino (may be of any race)","Enough of the kinds of food wanted",14160,"AK"
"Hispanic origin and Race","Two or more races + Other races, not Hispanic","Enough of the kinds of food wanted",61527,"AK"
"Hispanic origin and Race","White alone, not Hispanic","Enough of the kinds of food wanted",210756,"AK"
"Household income","$100,000 - $149,999","Enough of the kinds of food wanted",72399,"AK"
"Household income","$150,000 - $199,999","Enough of the kinds of food wanted",30874,"AK"
"Household income","$200,000 and above","Enough of the kinds of food wanted",36190,"AK"
"Household income","$25,000 - $34,999","Enough of the kinds of food wanted",17386,"AK"
"Household income","$35,000 - $49,999","Enough of the kinds of food wanted",22424,"AK"
"Household income","$50,000 - $74,999","Enough of the kinds of food wanted",35200,"AK"
"Household income","$75,000 - $99,999","Enough of the kinds of food wanted",50228,"AK"
"Household income","Did not report","Enough of the kinds of food wanted",26583,"AK"
"Household income","Less than $25,000","Enough of the kinds of food wanted",21456,"AK"
"Household size","1 person in the household","Enough of the kinds of food wanted",29994,"AK"
"Household size","2 people in the household","Enough of the kinds of food wanted",100793,"AK"
"Household size","3 people in the household","Enough of the kinds of food wanted",72678,"AK"
"Household size","4 people in the household","Enough of the kinds of food wanted",56649,"AK"
"Household size","5 people in the household","Enough of the kinds of food wanted",27708,"AK"
"Household size","6 people in the household","Enough of the kinds of food wanted",20027,"AK"
"Household size","7 or more people in the household","Enough of the kinds of food wanted",4891,"AK"
"Lesbian, Gay, Bisexual and Transgender","Did not report","Enough of the kinds of food wanted",5830,"AK"
"Lesbian, Gay, Bisexual and Transgender","No","Enough of the kinds of food wanted",277968,"AK"
"Lesbian, Gay, Bisexual and Transgender","Other","Enough of the kinds of food wanted",4424,"AK"
"Lesbian, Gay, Bisexual and Transgender","Yes","Enough of the kinds of food wanted",24517,"AK"
"Marital status","Did not report","Enough of the kinds of food wanted",NA,"AK"
"Marital status","Divorced/separated","Enough of the kinds of food wanted",39634,"AK"
"Marital status","Married","Enough of the kinds of food wanted",211573,"AK"
"Marital status","Never married","Enough of the kinds of food wanted",52423,"AK"
"Marital status","Widowed","Enough of the kinds of food wanted",9111,"AK"
"Presence of children under 18 years old","Children in household","Enough of the kinds of food wanted",128800,"AK"
"Presence of children under 18 years old","No children","Enough of the kinds of food wanted",183940,"AK"
"Reason for not working","Did not report reason","Enough of the kinds of food wanted",191833,"AK"
"Reason for not working","I am retired","Enough of the kinds of food wanted",65929,"AK"
"Reason for not working","I did not have transportation to work","Enough of the kinds of food wanted",3951,"AK"
"Reason for not working","I did not want to be employed at this time","Enough of the kinds of food wanted",9791,"AK"
"Reason for not working","I was caring for an elderly person","Enough of the kinds of food wanted",390,"AK"
"Reason for not working","I was caring for children not in school or daycare","Enough of the kinds of food wanted",6737,"AK"
"Reason for not working","I was caring for someone or sick myself with coronavirus symptoms","Enough of the kinds of food wanted",2004,"AK"
"Reason for not working","I was concerned about getting or spreading the coronavirus","Enough of the kinds of food wanted",1532,"AK"
"Reason for not working","I was laid off or furloughed due to coronavirus pandemic","Enough of the kinds of food wanted",1748,"AK"
"Reason for not working","I was sick (not coronavirus related) or disabled","Enough of the kinds of food wanted",5793,"AK"
"Reason for not working","My employer closed temporarily due to the coronavirus pandemic","Enough of the kinds of food wanted",213,"AK"
"Reason for not working","My employer went out of business due to the coronavirus pandemic","Enough of the kinds of food wanted",107,"AK"
"Reason for not working","Other reason","Enough of the kinds of food wanted",22712,"AK"
"Received SNAP","Did not report","Enough of the kinds of food wanted",3043,"AK"
"Received SNAP","No","Enough of the kinds of food wanted",291141,"AK"
"Received SNAP","Yes","Enough of the kinds of food wanted",18556,"AK"
"Respondent employed in the last 7 days","Did not report","Enough of the kinds of food wanted",590,"AK"
"Respondent employed in the last 7 days","No","Enough of the kinds of food wanted",122149,"AK"
"Respondent employed in the last 7 days","Yes","Enough of the kinds of food wanted",190001,"AK"
"Sex at birth","Female","Enough of the kinds of food wanted",156929,"AK"
"Sex at birth","Male","Enough of the kinds of food wanted",155811,"AK"
"Sexual orientation","Bisexual","Enough of the kinds of food wanted",15565,"AK"
"Sexual orientation","Did not report","Enough of the kinds of food wanted",5107,"AK"
"Sexual orientation","Gay or lesbian","Enough of the kinds of food wanted",7018,"AK"
"Sexual orientation","I don’t know","Enough of the kinds of food wanted",559,"AK"
"Sexual orientation","Something else","Enough of the kinds of food wanted",2812,"AK"
"Sexual orientation","Straight","Enough of the kinds of food wanted",281680,"AK"
"Total","","Enough of the kinds of food wanted",312740,"AK"
"Used in the last 7 days to meet spending needs*","Borrowing from friends or family","Enough of the kinds of food wanted",14377,"AK"
"Used in the last 7 days to meet spending needs*","Child Tax Credit payment","Enough of the kinds of food wanted",8450,"AK"
"Used in the last 7 days to meet spending needs*","Credit cards or loans","Enough of the kinds of food wanted",102507,"AK"
"Used in the last 7 days to meet spending needs*","Did not report","Enough of the kinds of food wanted",3691,"AK"
"Used in the last 7 days to meet spending needs*","Government rental assistance","Enough of the kinds of food wanted",2355,"AK"
"Used in the last 7 days to meet spending needs*","Money from savings or selling assets or possessions (including withdrawals from retirement accounts)","Enough of the kinds of food wanted",60150,"AK"
"Used in the last 7 days to meet spending needs*","Money saved from deferred or forgiven payments (to meet spending needs)","Enough of the kinds of food wanted",4886,"AK"
"Used in the last 7 days to meet spending needs*","Other","Enough of the kinds of food wanted",15345,"AK"
"Used in the last 7 days to meet spending needs*","Regular income sources like those received before the pandemic","Enough of the kinds of food wanted",273973,"AK"
"Used in the last 7 days to meet spending needs*","School meal debit/EBT cards","Enough of the kinds of food wanted",3536,"AK"
"Used in the last 7 days to meet spending needs*","Stimulus (economic impact) payment","Enough of the kinds of food wanted",12937,"AK"
"Used in the last 7 days to meet spending needs*","Supplemental Nutrition Assistance Program (SNAP)","Enough of the kinds of food wanted",7385,"AK"
"Used in the last 7 days to meet spending needs*","Unemployment insurance (UI) benefit payments","Enough of the kinds of food wanted",1189,"AK"
"Active duty military*","Did not report","Enough food, but not always the kinds wanted",NA,"AK"
"Active duty military*","No active duty service (self or spouse)","Enough food, but not always the kinds wanted",112948,"AK"
"Active duty military*","Serving in Reserve or National Guard","Enough food, but not always the kinds wanted",637,"AK"
"Active duty military*","Serving on active duty","Enough food, but not always the kinds wanted",1221,"AK"
"Active duty military*","Spouse serving in Reserve or National Guard","Enough food, but not always the kinds wanted",NA,"AK"
"Active duty military*","Spouse serving on active duty","Enough food, but not always the kinds wanted",2319,"AK"
"Age","18 - 24","Enough food, but not always the kinds wanted",5140,"AK"
"Age","25 - 39","Enough food, but not always the kinds wanted",38265,"AK"
"Age","40 - 54","Enough food, but not always the kinds wanted",25593,"AK"
"Age","55 - 64","Enough food, but not always the kinds wanted",29473,"AK"
"Age","65 and above","Enough food, but not always the kinds wanted",18226,"AK"
"Confidence in paying next rent or mortgage","Did not report","Enough food, but not always the kinds wanted",28175,"AK"
"Confidence in paying next rent or mortgage","High confidence","Enough food, but not always the kinds wanted",33871,"AK"
"Confidence in paying next rent or mortgage","Moderate confidence","Enough food, but not always the kinds wanted",30420,"AK"
"Confidence in paying next rent or mortgage","No confidence","Enough food, but not always the kinds wanted",9267,"AK"
"Confidence in paying next rent or mortgage","Payment is/will be deferred","Enough food, but not always the kinds wanted",110,"AK"
"Confidence in paying next rent or mortgage","Slight confidence","Enough food, but not always the kinds wanted",14852,"AK"
"Covered by health insurance","Did not report or don’t know","Enough food, but not always the kinds wanted",5714,"AK"
"Covered by health insurance","No","Enough food, but not always the kinds wanted",13039,"AK"
"Covered by health insurance","Yes","Enough food, but not always the kinds wanted",97942,"AK"
"Currently caught up on mortgage or rental payments","Did not report","Enough food, but not always the kinds wanted",6842,"AK"
"Currently caught up on mortgage or rental payments","Housing owned or payment not required","Enough food, but not always the kinds wanted",21334,"AK"
"Currently caught up on mortgage or rental payments","No","Enough food, but not always the kinds wanted",14431,"AK"
