Question,Characteristics,US1,US2,US3,US4,US5,AL1,AL2,AL4,AL4,AL5,AK1,AK2,AK3,AK4,AK5,AZ1,AZ2,AZ3,AZ4,AZ5,AR1,AR2,AR3,AR4,AR5,CA1,CA2,CA3,CA4,CA5,CO1,CO2,CO3,CO4,CO5,CT1,CT2,CT3,CT4,CT5,DE1,DE2,DE3,DE4,DE5,DC1,DC2,DC3,DC4,DC5,FL1,FL2,FL3,FL4,FL5,GA1,GA2,GA3,GA4,GA5,HI1,HI2,HI3,HI4,HI5,ID1,ID2,ID3,ID4,ID5,IL1,IL2,IL3,IL4,IL5,IN1,IN2,IN3,IN4,IN5,IA1,IA2,IA3,IA4,IA5,KS1,KS2,KS3,KS4,KS5,KY1,KY2,KY3,KY4,KY5,LA1,LA2,LA3,LA4,LA5,ME1,ME2,ME3,ME4,ME5,MD1,MD2,MD3,MD4,MD5,MA1,MA2,MA3,MA4,MA5,MI1,MI2,MI3,MI4,MI5,MN1,MN2,MN3,MN4,MN5,MS1,MS2,MS3,MS4,MS5,MO1,MO2,MO3,MO4,MO5,MT1,MT2,MT3,MT4,MT5,NE1,NE2,NE3,NE4,NE5,NV1,NV2,NV3,NV4,NV5,NH1,NH2,NH3,NH4,NH5,NJ1,NJ2,NJ3,NJ4,NJ5,NM1,NM2,NM3,NM4,NM5,NY1,NY2,NY3,NY4,NY5,NC1,NC2,NC3,NC4,NC5,ND1,ND2,ND3,ND4,ND5,OH1,OH2,OH3,OH4,OH5,OK1,OK2,OK3,OK4,OK5,OR1,OR2,OR3,OR4,OR5,PA1,PA2,PA3,PA4,PA5,RI1,RI2,RI3,RI4,RI5,SC1,SC2,SC3,SC4,SC5,SD1,SD2,SD3,SD4,SD5,TN1,TN2,TN3,TN4,TN5,TX1,TX2,TX3,TX4,TX5,UT1,UT2,UT3,UT4,UT5,VT1,VT2,VT3,VT4,VT5,VA1,VA2,VA3,VA4,VA5,WA1,WA2,WA3,WA4,WA5,WV1,WV2,WV3,WV4,WV5,WI1,WI2,WI3,WI4,WI5,WY1,WY2,WY3,WY4,WY5,METRO1,METRO2,METRO3,METRO4,METRO5
Hispanic origin and Race,Hispanic or Latino (may be of any race),17306028,10461239,5507832,1665747,9248297,117178,46628,49327,12833,53919,14160,11271,1456,2763,5471,692175,397956,216854,12109,320174,44943,62667,3569,,35402,4351380,2639970,1382714,215002,2560776,350767,239443,99997,20585,187433,192005,87478,51265,16374,97623,18059,15193,7802,,11283,13851,2645,4655,19193,1311,1701818,1207855,611132,359864,645771,360330,149203,80951,8173,133687,68419,14846,3792,508,28632,49285,29997,42367,5295,28062,478525,526864,137068,85977,362572,85068,85543,57558,15119,52248,60812,27181,,,15535,117467,52069,21169,15468,35019,33370,76967,22772,11627,8658,36855,84129,4898,2398,59032,20615,3043,7932,,,269743,115246,26318,1910,44472,200973,163006,73563,28935,153176,124788,94358,32058,5187,63009,60894,31076,50375,18654,37492,6614,35596,9706,,44965,110950,39217,12636,26062,30897,5042,6221,5949,,8869,59112,29551,8981,11062,28954,226517,161629,119348,12425,145645,21510,6291,5461,,7584,568970,364944,155213,18783,318170,280170,194813,95618,26743,164175,1133500,517696,376741,163853,569086,195456,191079,183279,34353,227843,12371,9166,,11370,4652,236810,73655,24864,31610,85496,99282,71253,43876,16373,45828,186546,116435,15617,15983,69858,182863,166823,104560,85770,178112,68743,17029,16113,1560,25057,92257,53187,7515,2254,45293,15505,15432,,3487,5183,127953,74925,26012,19495,39291,3280196,1664621,1079534,237212,1981017,166851,87572,36578,330,35413,5358,2053,4554,,,262672,187446,101403,11835,41062,393096,142889,45541,37185,72772,10388,5667,2143,,10532,87847,46277,36105,39352,100184,5971,15143,894,677,21604,1524324,733032,440091,109136,806634
Hispanic origin and Race,"Two or more races + Other races, not Hispanic",4189383,2455523,862775,311888,1562986,42329,38141,,,76335,61527,28723,13706,3265,3324,126630,91076,9365,2513,24769,49719,52352,9356,7296,22034,699814,299523,102346,26723,95172,107248,82113,24006,8207,27514,35569,26874,1799,11954,10974,2630,11024,839,5226,4082,9973,435,4834,,,87288,109149,18348,18410,11397,59802,67807,31107,15894,23476,133911,104960,34353,755,38670,32165,12391,6994,,3344,54968,103031,22929,2330,31231,47242,11739,,,57412,42512,13639,4266,,19054,53028,14335,5259,1283,27960,8432,25360,2778,,25321,25409,25336,39290,,51352,5064,7059,2621,265,5151,132070,16188,1082,,22188,66337,18942,8781,21099,50846,66186,70261,33450,38125,48180,61663,25312,8178,5380,21833,14553,22783,,3804,29428,60328,13390,12706,,10113,22812,24401,11210,,5369,7957,12530,9046,2808,3462,64885,78279,11031,4430,18648,13785,3064,1243,,4622,110427,,5884,7804,22005,58999,36496,40053,4627,35902,214570,155449,17191,6278,52818,82818,91428,25286,,42675,3149,5893,,329,3086,204277,50150,28969,5065,35130,196395,161258,31486,23654,74743,88005,54966,17376,1793,32823,52964,28190,31139,3174,109559,4749,15821,676,,3337,80938,34726,9288,,24099,20815,9506,10024,2617,5720,86915,44579,1637,3209,35073,257894,73155,90904,22058,189555,76120,23874,26534,3698,17947,5677,4279,2370,6722,1452,140219,58123,32584,10329,43803,229961,160116,30731,13344,36232,7470,11513,9065,6616,,60302,22918,15824,10668,21402,10882,2864,4827,135,2364,197346,94838,2388,14081,50063
Hispanic origin and Race,"White alone, not Hispanic",92823660,31560203,7796113,2563748,21550541,1330990,606929,186994,60763,288488,210756,69011,12241,6308,38386,1965712,615826,188152,119283,341970,878572,400174,70978,61172,288424,7660346,1761676,357555,130616,1183498,2073430,559428,113400,52380,358615,1177916,322548,62885,37424,274509,302768,121729,24943,2172,70032,172017,16840,6907,,5812,5020094,2074909,526447,136639,1806052,2399432,1002976,292061,56949,591468,165512,83820,2604,,19259,721675,279654,66368,17019,142216,3539054,1209604,239865,114065,845000,2400658,761923,216462,83943,655720,1188909,434302,124690,28515,280313,901896,404586,99646,29643,243554,1416530,621594,192504,78012,550410,851442,548248,145526,131596,429744,601338,254127,58872,10663,112656,1624843,498412,69270,9333,188277,2490072,696923,179446,19237,503256,3461574,1101201,353031,84805,959525,2304084,650255,126164,38638,429382,669001,298411,78960,61268,181294,2247171,727761,201333,173974,468618,483898,142478,53345,19728,63124,713304,225726,60572,13040,177074,675989,293034,62674,14241,170741,598764,225201,72122,12788,100070,2433889,710660,114603,37251,643502,416526,100591,44331,2646,70100,5078155,1586641,329779,190030,1262741,3155813,959136,214818,75986,887229,291344,105062,28796,10001,62469,4316002,1411710,444707,122767,765745,1074735,522780,137181,14883,273360,1606312,482246,102646,64695,294833,4483581,1503546,549646,59852,1078815,386826,122528,26683,5160,85909,1544726,546796,117030,49252,430019,355165,118913,18309,7838,57886,2073535,937246,224640,116214,693705,5543585,2142236,526184,42469,1138778,1174277,448716,64055,18993,193798,291984,88473,23222,11288,54263,2523428,817683,93643,49701,616447,2649749,755687,197947,37050,466375,538044,408347,104983,9595,213882,2436803,694494,170642,28232,439132,201438,87406,16251,5633,54068,4505863,873808,163517,136537,1054272
Household income,"$100,000 - $149,999",22151314,4284469,528994,53234,86931,290635,33379,13429,,,72399,13900,568,106,,537366,138586,7469,,21318,115364,12819,,,1100,2222356,514909,68468,2881,8870,516545,98656,26398,,,286311,49382,2770,,5413,73625,29322,,,,56274,4254,,,,1341118,241178,16348,6319,1854,600906,187168,5979,,,110359,19028,2132,,,139603,33273,1161,,,908118,185398,6261,4417,,414921,62426,,,,230215,24087,1996,,,198828,49116,6256,,356,281910,23813,29200,,,196151,36338,11172,,,92791,12555,690,,,607689,130470,5869,,9509,588084,70174,6494,,2806,712266,141217,13845,6371,,578425,116461,6068,,,150386,28987,2355,,1698,452543,87764,,2380,,77352,20123,,,,141627,27462,2942,,,243211,44817,28731,,,157382,49922,1186,663,,707050,142329,4265,2629,,92275,8954,875,,,1170872,175241,148986,,,612084,131015,,11962,,72714,12523,2811,,,770489,140848,,,,269128,35547,3431,,1367,395022,54095,2773,,,896068,155841,38650,6313,,66838,8960,,,,291895,71771,,2799,,59479,11259,,,3407,371587,55972,2004,,,1523752,359461,23151,3065,14042,257316,49714,10218,,,68340,3236,895,,,724637,148539,2360,3330,10954,784754,141741,15168,,1785,89032,10142,5267,,2450,493452,68438,,,,39774,11860,353,,,1244412,212767,153251,,
Household income,"$150,000 - $199,999",11408588,1557791,51855,30210,23745,105147,29906,5654,2658,,30874,1719,,220,,199888,54895,,,1985,43857,6911,,,,1998389,280436,9606,13006,2406,303600,28645,3351,,,143988,21744,1569,,,41231,20295,,,,42099,3427,,,,565115,129527,5704,,,347696,43323,,5330,,48829,18489,,,,49824,3176,,,,325569,89363,,,,165030,35688,,,,65667,14852,,,,82825,5027,,,,69016,8369,,,,70793,4370,4623,,,51178,3331,,,,296290,47019,4940,,,326151,28875,,,,303374,19040,,1718,,268311,12914,,,,65937,10114,,,,124972,6972,,6821,,36789,3795,,,,37640,1242,,,581,126076,12990,1564,,888,90767,4857,640,,,476460,68600,3517,,,31009,4504,,,,684917,88605,,,,284157,22590,,,,24697,1563,,,500,489988,21814,,,,72978,14145,,,,178806,24380,,457,,325637,55518,,,,42012,6503,,,,109056,14027,,,,27558,5445,,,,169307,18050,,,,973945,99279,1825,,9925,106738,13649,7485,,,24240,2606,,,2346,404993,74868,,,2360,351485,29368,,,2178,26389,9577,1377,,,165735,30240,,,,11559,1151,,,576,820922,95200,,,
Household income,"$200,000 and above",14027916,684793,51121,36546,48917,128685,11048,,,,36190,3474,,985,,201851,8056,1673,,,75284,2799,,,,2338809,123368,22041,9228,18589,311147,12508,,15972,,255607,5926,,,,42960,3865,,,,74635,1993,89,,,723565,32836,,,1039,299874,33822,,,,48317,4638,,,,56845,1727,,,,608110,28695,,,,250925,8753,,,,70855,1775,,,1008,81825,1882,,,,73452,9994,,3264,,95362,17843,,,,45446,4893,,,,359799,63015,,,,515235,7444,2087,,11955,258597,10751,7248,,,220196,10847,,,,26892,,3804,,,166089,7156,,,2826,30793,2713,,,,59113,3828,,,,96730,4819,,,5338,63495,1916,,,742,775970,22950,2505,,,46334,2571,,,,1247659,10061,4611,,897,433612,15208,,,,23022,227,,4996,,357276,4846,1674,,,54927,2174,4227,2100,,167555,8133,,,867,496811,21080,,,,46478,,,,,131852,4353,,,,20395,415,,,,169521,9160,,,,1006555,59838,,,1011,111207,9889,,,,24941,314,,,,572904,56895,,,574,469837,20389,1162,,4071,16791,3641,,,,226631,,,,,10956,263,,,,1680028,33012,7116,,
Household income,"$25,000 - $34,999",9668961,7876398,2824351,729915,122938,137324,180654,40361,19647,,17386,14479,3022,229,,265606,113274,58946,6079,27152,112212,93627,21686,9371,,1306594,966995,407536,76406,,140712,98654,38711,23544,,77551,29342,19700,9827,2404,22412,16314,24925,,,28484,9397,1490,1043,,620451,602062,261281,22936,,234526,276265,102488,59361,12947,51663,57816,2171,755,,76271,58787,36349,9613,652,373930,392801,126732,47297,,199216,144301,44634,14769,1865,85611,81964,13746,1788,4535,86253,74816,36904,4181,7671,85881,106362,39524,7746,,64097,151172,9669,8578,32238,80296,25115,6431,1942,,219755,110291,48276,18169,,200643,125079,67090,11962,,412682,282464,93757,42734,,150079,81154,23428,,,89669,93713,37699,11332,,245794,97409,25730,24437,,49021,21938,14505,1285,,62147,29927,5406,683,1149,83322,93986,52104,3783,2192,36169,35992,10479,,2277,156184,238314,59287,9579,,74351,66927,13972,23921,,470722,417644,86329,12991,3354,439635,249958,77648,37389,5495,11883,22075,4482,751,,408273,264273,160823,20557,3348,188401,154257,24330,14705,,148037,100536,38258,46580,,284477,238363,126880,8836,,27614,17987,7965,668,,181068,153569,40164,24131,,33625,49609,3760,8743,,120076,247644,82496,39358,,730146,501106,201491,17655,5771,82602,109947,21613,2867,,18885,12757,834,,781,203354,175266,72517,5693,,218581,182392,41568,4927,5771,68070,62547,27781,1546,3335,175016,118287,51307,8494,,12203,26791,6065,1025,,375663,401656,100925,9579,3354
Household income,"$35,000 - $49,999",12643053,7309962,2221155,894684,164769,179705,124135,52801,35869,,22424,17493,1577,,,355253,178053,64222,,,125877,83871,10377,7843,,1421351,579771,85479,29865,6460,229665,163319,48524,22574,,92632,36927,13193,17192,,42552,32824,4541,1835,,13325,2842,3872,1796,,721757,682194,106312,177541,81871,286880,281946,208889,13783,,40391,44544,8768,,,66531,54980,22811,2371,,552714,291688,62552,15059,,295103,82648,55384,38299,6991,176236,98538,7298,,,97337,99577,11748,8357,,225336,101140,39462,40164,,133726,88685,33294,54462,,50666,43238,5340,265,,154982,80574,45185,18094,,189695,151766,37117,,7319,496351,192312,77624,19216,,204846,130688,46347,8455,,98160,96715,22255,13297,7817,255617,118141,54442,11304,,44793,39937,926,9277,,77876,64121,11751,3082,864,133030,48507,38464,578,693,46545,25132,23266,,2222,260383,52081,40259,48346,597,88732,44478,31398,,,615837,321421,107482,89056,2483,368392,208470,115207,24426,10749,35698,13871,7362,6498,,562691,234947,64187,,,171680,99145,14239,8934,,191086,112095,9947,2119,,508637,345492,108002,95687,12102,51468,10120,3869,3434,,273548,138139,31380,1083,,51402,12383,9165,,,337164,193580,12598,15610,,1066896,799543,265193,12945,21015,130214,66044,14357,2406,,21558,16381,7038,5041,383,266974,150109,60984,2816,,384738,212683,60597,15463,512,58540,71809,24756,,2689,345198,161486,27532,9958,,20862,9382,1782,285,,607985,229606,138464,126054,
Household income,"$50,000 - $74,999",20604435,9312187,2121972,366945,51461,300414,202671,11372,7054,,35200,17304,4796,182,,533635,195733,32916,10409,2086,166047,75565,33871,6966,,2387484,936082,246770,39336,,327420,200224,33372,1267,,233081,95317,26884,18316,,62940,22713,6223,,336,31312,7282,3717,,,1164534,769545,249234,10317,4109,615919,242391,54700,4171,,109465,70701,8050,,218,154775,55395,12233,1817,3280,705641,360000,71100,39383,,432201,198285,50425,8014,,254847,78538,21307,,,238319,76540,8741,,,318533,210229,24068,1991,1086,246411,168865,8465,1234,1008,101645,55873,20725,,,391679,159835,32514,595,3621,355313,141090,37862,,543,667543,244433,42745,8451,1778,330474,155953,41173,10162,4458,103959,68216,1406,,,501162,185275,55370,42542,,120136,19569,8069,,,111879,57929,13593,4068,2947,157900,109392,43749,,,104640,46828,30360,,1138,425672,207881,42918,5590,2759,115640,39730,14347,,,1025867,531518,97107,38508,,711744,310421,88028,21893,,52762,24319,1209,,,954255,349613,110396,14161,2731,253292,137274,41294,2858,,277025,107469,6153,6617,,809801,289506,82752,3419,2061,100219,60005,12337,286,6554,421768,110828,9889,12701,646,63561,16037,1472,,207,592917,197254,39701,5315,2689,1659178,938191,174528,6987,1560,238995,142290,17607,5859,1081,57578,18061,3764,2371,,460807,190003,53687,3702,2843,503024,162990,25050,16337,1459,101184,72116,8240,,,464562,160964,55148,4065,,50072,17942,537,,263,903417,386266,90723,26267,2759
Household income,"$75,000 - $99,999",17678958,5541043,601215,152122,99861,264740,74664,16217,5591,,50228,19681,558,537,,367340,86716,15137,,,188209,60784,13978,3052,,1762617,584972,26916,3575,6505,438088,117084,21285,4079,4379,201852,71893,5032,2516,1832,66467,15628,408,,,31421,4791,4111,,,1163678,215888,18265,,6502,517658,105700,14326,12541,,55683,23924,7027,3501,5810,122572,31323,2902,1503,,644531,219386,63606,37069,,521039,114687,8217,2738,,192627,63640,,,,178166,35960,1903,,,241082,53466,2531,2028,3939,131316,69360,4531,,,97206,31990,1630,,,423684,64672,28440,,,334895,179866,10668,1357,,606777,197801,8886,1627,4652,405893,101351,13173,1048,9031,155735,57110,,13588,,408853,126775,,,,57135,20786,3018,,862,158433,23568,3107,935,,153361,59427,8028,3284,,66754,23485,2565,1596,,521571,198417,19355,,15174,102798,40448,1706,,1192,906684,503226,7120,,,606131,244061,7916,5131,1289,60447,19724,654,557,1566,606119,249308,8527,,5197,191671,69740,2823,,,235483,80319,26250,,7874,721956,304194,33993,,,75422,24065,3055,,,260945,69901,,4165,,67520,9155,,,,348139,139645,3455,10747,,1366400,306297,96253,12567,24058,206442,43715,8907,,,52977,14823,4991,6722,,454221,133735,21900,,,412003,101389,10356,10069,,71105,25765,1328,,,362878,96472,36162,,,40004,10265,,,,790899,347602,16988,,15174
Household income,Did not report,16322803,7660604,3327438,1309640,39888280,223371,111044,63179,43916,588021,26583,15256,6594,2163,60087,380720,206251,74714,3791,713901,180956,75753,10642,16572,386515,2076407,997440,401029,102812,4523246,210867,128018,18231,6981,594020,241507,88755,27061,4206,465370,43547,31899,9418,4569,101738,41789,7747,16270,1043,32235,961182,471774,171745,261569,3057722,508494,316881,245938,29699,1388514,57668,37233,35134,,119260,96218,50205,30562,2159,171433,457854,309847,104017,22028,1520288,297856,62380,32928,10799,966059,162756,52153,39391,10197,333196,111893,57349,1973,4868,330164,181749,93227,45868,12580,631848,196573,144265,82114,9994,763416,75120,27619,5903,2368,119196,312174,203002,85698,16475,460604,387487,156721,55969,18903,843548,481362,163182,119926,43524,1307087,297142,84550,39699,15153,561646,126833,92657,20647,2951,331320,305630,104401,67190,33689,629444,59943,19123,22074,6424,77500,99986,64844,18861,4233,224229,67215,104899,29181,20735,371576,60596,23289,6082,2845,111377,406543,280944,96962,9261,1295013,67333,70785,13944,1713,272872,928726,365965,219787,202765,2610266,433351,271620,34862,,1489190,22995,17299,9655,5213,76034,739409,266742,84516,59230,1046441,144954,134831,29371,6260,420808,187152,101913,19083,1793,414210,941764,266092,130106,20991,1646077,58776,19289,4940,1176,132067,303427,74712,36816,1512,833198,51597,23973,2637,,67837,385039,186017,54282,19495,860960,1554057,600012,529490,197540,4057363,190452,85119,9599,330,252462,26017,14188,10586,305,52205,414267,189799,41207,8825,983854,312818,215161,53008,7362,667541,76012,45492,18547,327,232348,326688,116220,32398,45956,615698,19949,12668,7606,2339,77274,956169,446719,224035,113354,2735326
Household income,"Less than $25,000",9724378,9575211,6307490,2092030,260330,201275,177333,127082,25476,,21456,13391,11230,9043,,247574,212555,199106,113625,,101044,150645,48448,28584,615,778310,980499,1080714,188654,991,162719,77095,75729,8991,,82789,79887,34604,34356,1751,20718,15380,19807,5413,1444,21066,11597,10839,20550,,564462,1156649,641376,123183,,445111,368740,214684,45725,,57735,23484,14556,3466,3821,49583,39273,11264,5426,,245869,490405,158428,82964,,219068,192322,114967,30239,,118738,105429,52234,18296,,70240,88305,77383,35709,,150464,169577,68901,34164,,132352,176389,164245,108819,2785,40180,59616,30674,7784,,111117,121043,30135,11328,7242,204709,162551,96438,38406,2907,251104,243534,175641,56346,780,174477,116335,34072,33234,5380,100167,201235,106258,39480,,206950,122275,75359,99999,8562,42567,26776,24668,2742,,60874,23182,25555,13909,471,71739,143092,58972,15635,9230,33115,27637,6361,7684,,255335,119263,68935,24553,24413,157765,68876,103761,8382,2440,960136,527808,271730,140111,,319501,143874,309030,65540,1439,6356,12532,4576,3684,,325022,359182,134414,89133,1867,104555,144671,111354,28107,,194823,107791,44984,27238,,386579,255471,249016,45916,6073,25505,16448,14588,1156,416,139108,176349,71556,28469,,21347,18385,11299,5199,,208936,234945,145839,79196,,792085,914158,657612,117989,172866,106085,54833,39052,11559,363,13383,14802,2039,3572,,262700,216041,104047,84521,,219433,176504,85562,40892,1098,61430,134030,34689,14338,,161683,86776,46982,20448,,15034,16244,6696,2796,3373,761351,320741,124116,143894,24413
Household size,1 person in the household,12987282,4982447,1637904,774085,2814241,168598,80637,14675,4092,33287,29994,12000,3648,3414,1843,275012,78248,27875,15472,47441,143835,38439,14719,23720,21032,1360098,495589,156814,86931,242495,257114,72522,33837,9280,28008,161636,35515,19235,17823,34041,28976,16241,3773,149,6475,63483,11218,6580,242,8724,840803,207956,127282,57687,166768,352856,174565,20366,25215,134628,67037,24389,5859,1263,6350,57752,25576,4714,5587,20131,596885,265906,72064,14046,76699,302167,59650,52207,17206,62472,162220,53059,10465,11995,44968,119721,53881,12633,3999,23780,170244,67685,56624,6405,40999,124693,71015,24100,5500,27458,113894,44818,19376,4603,9057,219770,67078,52584,28984,57409,268920,116316,35133,5061,66046,404324,146257,45700,21591,132108,235050,71139,23005,10188,54077,85697,39603,15572,5478,28804,271459,76432,29559,31245,34603,55064,16666,1861,1084,9547,87019,19586,11423,6611,13677,94078,49713,18554,2460,33747,63507,28064,9849,663,13199,353780,96943,14227,10108,57135,153912,55956,28803,2438,30593,884889,414706,105115,91656,191433,407365,156044,71660,5524,118820,39746,10982,4939,1720,9015,578827,171171,39709,53807,99105,138851,83715,45399,12140,41803,192434,63038,19702,18116,24708,608947,265919,38527,27422,206144,46226,18823,7129,933,12273,179061,59914,19653,20226,78460,39841,10696,4141,169,12524,241180,102787,35020,35572,45638,772722,546900,176025,24301,237593,91939,39382,6760,3219,4656,28156,14745,2230,1295,1717,362864,137038,27869,13866,63945,351566,98702,23247,5142,39543,63315,36338,20190,3244,20705,245401,68177,14506,13930,34587,24357,10709,2966,1263,3972,841500,319394,41643,88920,197585
Household size,2 people in the household,50655839,15329029,4281607,1213351,10350609,685043,289508,46084,23105,189354,100793,27219,10708,1445,15805,1249810,337810,119924,30723,186846,407463,214498,33626,23156,104106,4808639,1220124,321788,89086,703861,1135274,301147,85405,23762,151245,622951,126884,38448,24037,114815,177168,47406,16103,188,26102,134888,14007,12841,2839,9434,3155190,1466485,310171,30741,946727,1371019,660993,185649,73791,397060,215097,54734,5927,2958,20960,305125,102004,26804,6760,43565,1995141,546916,146811,69028,349115,1130524,348307,53098,36462,248011,629508,147824,52151,6042,121973,483855,188220,45991,5974,79442,667937,259395,32670,31125,163163,483142,283336,73452,34374,185374,307366,111064,10492,2430,55896,987670,229488,62450,16454,154678,1150003,262218,95575,2707,230038,1837583,412537,140514,41671,306583,1211225,263827,38427,,175384,326404,163025,34335,28496,94636,1046719,290819,63471,25159,194293,233440,58004,18656,8571,30989,352313,94436,29361,6844,76073,474593,151769,65366,3646,95493,267585,59710,14052,3011,40464,1388738,411605,61118,33752,384348,284823,147069,56490,7087,87503,2676372,606734,183128,125220,664662,1715880,585581,144687,87230,393037,133665,40838,3941,3282,29014,1904891,519553,146807,13667,332349,522826,240582,62041,32007,114404,851221,219183,40428,6141,95938,1946761,590266,248621,75777,401751,207511,54150,2621,891,21657,892240,296087,63447,17784,217980,167919,48199,12771,6578,22972,1310375,330502,128001,26392,263187,3702850,1208234,609584,61063,884675,424587,105133,28051,8099,77432,143447,30256,12245,4036,20940,1427575,355529,101678,22093,290778,1489140,327275,61074,12923,186354,252344,116222,27886,3197,80706,1148415,318060,91565,10913,258370,110792,44257,5078,634,11065,2616453,484970,138987,145982,688149
Household size,3 people in the household,25926856,10827754,3391532,1167271,7926947,342477,153425,93739,12782,197733,72678,23144,2054,3849,10477,500498,173812,73096,18871,160342,180698,81228,15449,10552,66226,3446669,1436193,322659,35344,662677,559041,236296,26890,25162,155915,327024,110497,16197,34305,74797,83229,47145,7668,,24351,32429,11206,12922,177,5558,1466771,784878,265405,238160,633906,772359,358401,79402,58430,210700,105784,46976,12306,,22059,147591,62138,12952,5126,29907,806061,613215,131812,35816,440830,573323,163499,34486,13088,177163,216994,109864,15540,,50058,197821,64195,30669,17339,61063,379353,156906,50085,10790,72671,298643,174691,69949,85617,243968,94573,38509,7295,,7977,531613,154541,76442,4440,95617,666233,203178,58429,19137,127745,627037,331766,114480,16827,297170,525486,144543,33398,32860,134383,109141,198196,96759,7876,70446,469549,219876,37688,12447,155554,96349,14553,23492,3648,17753,150884,39594,13568,1983,37029,189945,132990,68425,11853,67169,144351,35715,11509,9115,18266,848357,349822,69486,20511,217466,115927,65781,34164,,26769,1388667,753854,320982,29784,576974,948418,146681,123070,42269,354803,54100,31486,4866,,13169,1079881,338668,134065,70195,155323,256385,105123,50597,7506,80684,369646,111362,36174,55918,90125,1136899,362618,80937,18444,346598,104404,31582,13851,1462,42665,492291,122359,19222,10250,163292,52237,28229,3708,2639,7244,318737,293175,87631,21696,197667,2344888,944836,282480,82437,737122,268652,92678,38328,7770,43373,48224,13213,7483,2233,6633,660133,236095,102141,26317,211205,624614,250187,66020,8578,170496,88722,74989,17331,8501,55530,582798,137149,79008,22328,82158,28273,16693,5221,2843,18141,1440699,687419,355208,38558,496177
Household size,4 people in the household,23744648,10508100,3088076,924903,8590597,297420,219448,75464,54601,52497,56649,21631,5368,506,20188,644433,354891,98414,3880,151661,139340,110220,45587,10357,75750,3054347,956504,702033,63574,822806,451875,112282,58973,,157811,305086,107817,28847,2049,140643,84681,47617,14144,4281,27869,69735,6823,1368,2159,4067,1446561,776651,205116,25168,688972,728621,408979,145704,,213681,69732,111186,10257,,23427,128581,61477,25733,2245,34838,750099,423651,80232,80688,228511,378078,143272,23113,33099,223414,186886,94201,23761,9747,63342,207200,80337,14509,575,56386,270298,126351,90950,11578,135225,192960,121612,51153,20630,183536,68587,37832,3034,1554,5972,689293,239272,24394,2327,86251,663099,204778,39936,,180836,590269,273741,34570,40623,190961,377170,140142,37525,19708,130632,208298,101092,15089,14478,94698,403794,168473,49113,77920,108071,66584,54136,12763,,10156,107714,67165,19311,3597,72305,178645,108136,17886,4205,83467,131830,64482,3227,,15375,847077,224604,33908,24240,303720,77591,31589,15937,,46194,1716483,659317,96474,217238,407207,669149,366931,165151,3590,326020,50885,21151,8264,3888,14023,955872,440790,65209,28263,230403,336810,191300,50526,2732,75574,259099,94972,15082,562,72853,1003334,344738,191226,41786,388619,75545,21645,11439,3434,36831,214563,162897,15834,16152,242876,60367,33274,2427,3487,16989,437183,199445,34627,11540,201102,2017219,939409,258420,27537,1333899,271981,137359,7305,,54995,52794,20261,2112,7331,13095,741875,365610,53598,12574,273879,501289,243565,61716,24366,101763,95035,79650,14048,,39596,383912,164069,24528,6462,110291,28716,21325,2673,173,17319,1909342,618581,65230,126155,627402
Household size,5 people in the household,11176199,5522290,2322896,404901,5313431,181774,70253,44573,4737,90539,27708,13216,5364,804,4854,241063,104123,90906,10833,53029,135915,56386,17934,1225,71927,2029318,632322,355032,21041,820802,124827,112552,14748,7973,57154,92639,44960,9691,8201,74961,28675,15871,6067,1974,11213,27332,2786,3537,,4452,621655,499101,183005,38711,297262,339760,126067,214835,,286505,62940,23510,12253,,25429,91701,41433,25454,2193,19644,389672,122309,84201,13753,199971,225977,86656,82707,5003,109600,102279,39156,16311,2498,21867,78014,59007,24018,3658,36352,88029,67698,16969,4621,84235,96529,123906,43968,3964,62880,45097,24954,7338,3773,28020,291348,100158,30865,7790,34084,188981,119682,16382,6971,122468,368898,174970,76030,16711,224217,148502,103475,35952,5296,33578,109588,27483,15357,24322,31409,241846,59948,27257,49675,52897,37195,8885,9081,,5077,83641,25355,4056,,18314,113752,59147,26249,,49727,35986,22466,28460,,18190,298511,156583,78740,,190994,41780,22299,33763,22073,34359,587858,321354,99076,8892,482270,229978,160113,61768,,120660,22578,9029,5955,1502,11006,325227,248136,32852,17149,130797,126878,84198,2959,,49901,163039,102023,31218,,68710,335531,180707,68348,,202461,28571,22170,5031,,14748,231715,117496,17684,,116929,42229,11152,,201,10759,126917,236922,35850,59629,115559,899888,449202,162850,3034,486680,174379,56681,38159,3602,35599,14287,11947,,2811,7138,363505,92109,17829,34036,86475,314196,103003,53471,6243,67020,40391,45015,32049,,35045,145840,115708,12419,,77528,12262,8606,4274,,18139,452949,259565,110289,8892,476553
